PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
A0A0A0,A0A,48.56745,-54.843225,Gander,A,10,Rural
A0B1A0,A0B,47.760904,-53.983427,Arnolds Cove,A,10,Rural
A0C1A0,A0C,48.346418,-53.964627,Bloomfield,A,10,Rural
A0E1A0,A0E,47.359652,-54.898404,Baine Harbour,A,10,Rural
A0G1A0,A0G,49.453552,-54.104467,Aspen Cove,A,10,Rural
A0H1A0,A0H,49.130114,-56.084515,Badger,A,10,Rural
A0J1A0,A0J,49.595933,-55.673872,Beaumont,A,10,Rural
A0K1A0,A0K,51.232675,-56.79691,Anchor Point,A,10,Rural
A0L0L0,A0L,48.874041,-57.8252,Massey Drive,A,10,Rural
A0M1A0,A0M,48.18162,-58.857956,Burgeo,A,10,Rural
A0N0A2,A0N,48.1675613,-58.6058423,St Georges,A,10,Rural
A0P1A0,A0P,55.888915,-60.880547,Davis Inlet,A,10,Rural
A0R1A0,A0R,53.532852,-64.014524,Churchill Falls,A,10,Rural
A1A0A1,A1A,47.6140568,-52.70796993,St. John's,A,10,Urban
A1B0A1,A1B,47.550575,-52.746072,St. John's,A,10,Urban
A1C0A1,A1C,47.5143913,-52.6565681,,A,10,Urban
A1E0A1,A1E,47.537275,-52.755144,St. John's,A,10,Urban
A1G0A1,A1G,47.490131,-52.798928,St. John's,A,10,Urban
A1H0A1,A1H,47.550575,-52.746072,St. John's,A,10,Urban
A1K0A1,A1K,47.671081,-52.754462,Torbay,A,10,Urban
A1L0A2,A1L,47.54292429,-52.87949604,Paradise,A,10,Urban
A1M0A1,A1M,47.618259,-52.835924,Portugal Cove-St Philips,A,10,Urban
A1N0A1,A1N,47.519571,-52.811343,Mount Pearl,A,10,Urban
A1S0A1,A1S,47.456783,-52.774467,Goulds,A,10,Urban
A1V0A1,A1V,48.95836,-54.60718,Gander,A,10,Urban
A1W0A1,A1W,47.503038,-52.98386,Conception Bay South,A,10,Urban
A1X0A1,A1X,47.4671664,-53.0355324,Conception Bay South,A,10,Urban
A1Y1A1,A1Y,47.723142,-53.23326,Carbonear,A,10,Urban
A2A0A1,A2A,48.94512,-55.668045,Grand Falls-Windsor,A,10,Urban
A2B0A1,A2B,48.928873,-55.651165,Grand Falls-Windsor,A,10,Urban
A2H0A1,A2H,48.934522,-57.940359,Massey Drive,A,10,Urban
A2N0A1,A2N,48.545664,-58.598706,Stephenville,A,10,Urban
A2V0A1,A2V,52.942446,-66.90166,Labrador City,A,10,Urban
A5A0A1,A5A,48.185091,-54.015612,Clarenville,A,10,Urban
A8A0A1,A8A,49.235715,-57.430742,Deer Lake,A,10,Urban
B0A1A0,B0A,46.113095,-59.96457,Birch Grove,B,12,Rural
B0C1A0,B0C,46.281142,-60.28252,Alder Point,B,12,Rural
B0E1A0,B0E,45.514793,-60.966046,Arichat,B,12,Rural
B0H1A0,B0H,45.60221,-61.744775,Afton Station,B,12,Rural
B0J1A0,B0J,45.14583,-61.810819,Bickerton West,B,12,Rural
B0K0A2,B0K,45.574316,-62.656599,Stellarton,B,12,Rural
B0L1A0,B0L,45.580208,-64.664577,Joggins,B,12,Rural
B0M1A0,B0M,45.331725,-64.759555,Advocate Harbour,B,12,Rural
B0N1A0,B0N,44.879392,-63.725383,Beaverbank,B,12,Rural
B0P1A0,B0P,45.019133,-64.888235,Auburn,B,12,Rural
B0R1A0,B0R,44.742361,-65.511122,Barss Corners,B,12,Rural
B0S1A0,B0S,44.74364,-65.51801,Annapolis Royal,B,12,Rural
B0T1A0,B0T,43.702901,-65.111924,Allendale,B,12,Rural
B0V1A0,B0V,44.536344,-65.84642,Digby,B,12,Rural
B0W1A0,B0W,43.818739,-65.951742,Abram River,B,12,Rural
B1A0A1,B1A,46.084252,-60.108202,Glace Bay,B,12,Urban
B1B1A1,B1B,46.13650959,-59.87161617,Port Morien,B,12,Urban
B1C0A1,B1C,45.958365,-59.991704,Louisbourg Road,B,12,Urban
B1E1A1,B1E,46.167278,-60.048057,Dominion,B,12,Urban
B1G1A1,B1G,46.203238,-60.024044,Dominion,B,12,Urban
B1H0A1,B1H,46.251873,-60.072773,New Waterford,B,12,Urban
B1J0A1,B1J,45.90943,-60.479481,Big Pond Centre,B,12,Urban
B1K0A1,B1K,45.89732,-60.193666,Gabarus Lake,B,12,Urban
B1L0A1,B1L,46.041241,-60.260939,Howie Center,B,12,Urban
B1M0A1,B1M,46.088152,-60.109143,Mira Road,B,12,Urban
B1N0A3,B1N,46.1917166,-60.1692134,,B,12,Urban
B1P0A1,B1P,46.110058,-60.200192,Sydney,B,12,Urban
B1R0A1,B1R,46.14088263,-60.21631754,Sydney,B,12,Urban
B1S0A1,B1S,46.112368,-60.211764,Membertou,B,12,Urban
B1T1A1,B1T,46.11349151,-60.23786675,Christmas Island,B,12,Urban
B1V0A1,B1V,46.244155,-60.238698,Sydney Mines,B,12,Urban
B1W1A1,B1W,45.924499,-60.644925,Eskasoni,B,12,Urban
